# Mountain elevation from Marin Anderson
# Azimuth_deg Elevation_deg
72.79279279 12.94357383
73.15315315 12.88108436
73.51351351 12.80434233
73.87387387 12.70842977
74.23423423 12.75698226
74.59459459 12.73625470
74.95495495 12.70708416
75.31531532 12.66954764
75.67567568 12.59438346
76.03603604 12.51772384
76.39639640 12.43633519
76.75675676 12.33147612
77.11711712 12.21070781
77.47747748 12.07414509
77.83783784 11.89911830
78.19819820 11.73142852
78.55855856 11.58642203
78.91891892 11.47218840
79.27927928 11.35344398
79.63963964 11.23559243
80.00000000 11.12191204
80.36036036 11.00679927
80.72072072 10.91670908
81.08108108 10.84846938
81.44144144 10.78353597
81.80180180 10.69912965
82.16216216 10.59840128
82.52252252 10.50074340
82.88288288 10.39260923
83.24324324 10.28457359
83.60360360 10.17894132
83.96396396 10.11052910
84.32432432 10.04156436
84.68468468 9.96842107
85.04504505 9.87667227
85.40540541 9.78575968
85.76576577 9.69682503
86.12612613 9.61112125
86.48648649 9.52602083
86.84684685 9.44107317
87.20720721 9.40916633
87.56756757 9.37462993
87.92792793 9.27059073
88.28828829 9.15946493
88.64864865 9.04776172
89.00900901 8.94306593
89.36936937 8.83825739
89.72972973 8.73288575
90.09009009 8.62401291
90.45045045 8.51437028
90.81081081 8.40483168
91.17117117 8.30538393
91.53153153 8.20462086
91.89189189 8.11244779
92.25225225 8.08108856
92.61261261 8.05076744
92.97297297 8.01737662
93.33333333 7.96603446
93.69369369 7.91451682
94.05405405 7.83851774
94.41441441 7.68849428
94.77477477 7.53699572
95.13513514 7.39509394
95.49549550 7.28643416
95.85585586 7.17797336
96.21621622 7.07713964
96.57657658 7.03560341
96.93693694 6.99383515
97.29729730 6.93887850
97.65765766 6.88270711
98.01801802 6.81140198
98.37837838 6.70458654
98.73873874 6.58468522
99.09909910 6.43774662
99.45945946 6.25526135
99.81981982 6.24481954
100.18018018 6.25315928
100.54054054 6.18765149
100.90090090 6.07347388
101.26126126 5.89516562
101.62162162 5.71586117
101.98198198 5.54982876
102.34234234 5.43915255
102.70270270 5.31413328
103.06306306 5.18238130
103.42342342 5.06623749
103.78378378 4.93919853
104.14414414 4.80670003
104.50450450 4.69789993
104.86486486 4.60722433
105.22522523 4.58407930
105.58558559 4.55699111
105.94594595 4.58893741
106.30630631 4.57452138
106.66666667 4.55714424
107.02702703 4.57413240
107.38738739 4.55333230
107.74774775 4.50760751
108.10810811 4.46664619
108.46846847 4.46080093
108.82882883 4.38504774
109.18918919 4.30285738
109.54954955 4.21753370
109.90990991 4.26141381
110.27027027 4.33927481
110.63063063 4.38803298
110.99099099 4.41767503
111.35135135 4.40468331
