common_name,ra_current,dec_current,coords_sexagesimal,distance,,,,,,,,
Gaia DR3 4314851212200995968,291.9360596,11.14810762,19h27m44.65s +11d08m53.19s,21.65489052,,,,,,,,
Gaia DR3 2823757279896577920,351.5503468,17.0018081,23h26m12.08s +17d00m06.51s,21.65675494,,,,,,,,
Gaia DR3 785138236666164352,168.5038226,45.26844014,11h14m00.92s +45d16m06.38s,21.66174255,,,,,,,,
Gaia DR3 4422809716282811776,237.0381581,1.57054109,15h48m09.16s +01d34m13.95s,21.66496853,,,,,,,,
Gaia DR3 1693190667747004800,181.9701113,77.24761902,12h07m52.83s +77d14m51.43s,21.66719171,,,,,,,,
Gaia DR3 1421971866781082112,268.8927303,58.41346551,17h55m34.26s +58d24m48.48s,21.67344657,,,,,,,,
Gaia DR3 4216680418835844864,303.6175417,-7.283938693,20h14m28.21s -07d17m02.18s,21.673507,,,,,,,,
Gaia DR3 365548347350541952,10.70336565,35.54935514,00h42m48.81s +35d32m57.68s,21.6800687,,,,,,,,
Gaia DR3 659076617202569856,128.1029376,17.11257574,08h32m24.71s +17d06m45.27s,21.68254644,,,,,,,,
Gaia DR3 82493612948013824,37.17985935,16.65605183,02h28m43.17s +16d39m21.79s,21.68327155,,,,,,,,
Gaia DR3 WD_Unknown_ID,6.904580686,5.698959501,00h27m37.10s +05d41m56.25s,21.68336647,,,,,,,,
Gaia DR3 680446793919166080,120.4306057,23.70665089,08h01m43.35s +23d42m23.94s,21.69492583,,,,,,,,
Gaia DR3 5728413490039479552,123.244348,-10.53308123,08h12m58.64s -10d31m59.09s,21.6959203,,,,,,,,
Gaia DR3 1255420869061901440,215.5816989,23.87672573,14h22m19.61s +23d52m36.21s,21.69908883,,,,,,,,
Gaia DR3 4422809711989181824,237.0374943,1.575410344,15h48m09.00s +01d34m31.48s,21.69956701,,,,,,,,
Gaia DR3 1083484459094779520,120.6910753,59.02716348,08h02m45.86s +59d01m37.79s,21.70941633,,,,,,,,
Gaia DR3 111379432679196672,49.44477478,25.24914738,03h17m46.75s +25d14m56.93s,21.710436,,,,,,,,
Gaia DR3 900887948891049856,124.4630649,31.13099972,08h17m51.14s +31d07m51.60s,21.71114713,,,,,,,,
Gaia DR3 6795261758382370560,310.8163076,-29.42536311,20h43m15.91s -29d25m31.31s,21.71499704,,,,,,,,
Gaia DR3 4269203303374311552,285.8053299,3.400146384,19h03m13.28s +03d24m00.53s,21.71704005,,,,,,,,
Gaia DR3 3121522311646906240,92.8107767,-0.593350139,06h11m14.59s -00d35m36.06s,21.72874943,,,,,,,,
Gaia DR3 5120416854460344192,35.84825626,-23.30872966,02h23m23.58s -23d18m31.43s,21.73266819,,,,,,,,
Gaia DR3 3724962880270554752,205.7528502,9.072388205,13h43m00.68s +09d04m20.60s,21.7331276,,,,,,,,
Gaia DR3 576506489410890752,135.525434,0.554693704,09h02m06.10s +00d33m16.90s,21.73381312,,,,,,,,
Gaia DR3 576218726601829376,37.29619628,88.40679021,02h29m11.09s +88d24m24.44s,21.73425571,,,,,,,,
Gaia DR3 413391568618906880,20.16585025,57.33109387,01h20m39.80s +57d19m51.94s,21.73523198,,,,,,,,
Gaia DR3 4123506089829039616,264.855542,-17.71918916,17h39m25.33s -17d43m09.08s,21.73566621,,,,,,,,
Gaia DR3 473347456640406016,59.04428549,59.64311956,03h56m10.63s +59d38m35.23s,21.73580586,,,,,,,,
Gaia DR3 4203875751318123904,284.036994,-8.385400841,18h56m08.88s -08d23m07.44s,21.73610291,,,,,,,,
Gaia DR3 4278483868667724032,281.6955731,0.723651674,18h46m46.94s +00d43m25.15s,21.73795995,,,,,,,,
Gaia DR3 5608852393772621184,105.0377552,-28.78457129,07h00m09.06s -28d47m04.46s,21.74162227,,,,,,,,
Gaia DR3 2772804845911842944,2.112962376,17.42381679,00h08m27.11s +17d25m25.74s,21.74363014,,,,,,,,
Gaia DR3 4116870812104603520,265.614616,-23.11523115,17h42m27.51s -23d06m54.83s,21.7468116,,,,,,,,
Gaia DR3 303438275527023744,25.32204349,30.26787915,01h41m17.29s +30d16m04.36s,21.75218708,,,,,,,,
Gaia DR3 3212318332599958784,74.49348517,-5.106068345,04h57m58.44s -05d06m21.85s,21.7631346,,,,,,,,
Gaia DR3 5601266725623628416,119.8087403,-26.62496979,07h59m14.10s -26d37m29.89s,21.76704283,,,,,,,,
Gaia DR3 4120577918646709632,266.9094216,-18.02050602,17h47m38.26s -18d01m13.82s,21.76989545,,,,,,,,
Gaia DR3 WD_Unknown_ID,310.6475503,-20.07734319,20h42m35.41s -20d04m38.44s,21.77084014,,,,,,,,
Gaia DR3 3177244255271333376,64.17307099,-12.55469531,04h16m41.54s -12d33m16.90s,21.77165007,,,,,,,,
Gaia DR3 3374052988354372992,93.71123849,19.1551302,06h14m50.70s +19d09m18.47s,21.77632008,,,,,,,,
Gaia DR3 5173902189571919872,40.05075167,-9.45344098,02h40m12.18s -09d27m12.39s,21.77891877,,,,,,,,
Gaia DR3 2683961454529115264,330.8891143,3.672269413,22h03m33.39s +03d40m20.17s,21.78093768,,,,,,,,
Gaia DR3 325242072141424384,34.35833502,33.39061239,02h17m26.00s +33d23m26.20s,21.78400804,,,,,,,,
Gaia DR3 768904428518069888,179.5747123,42.57200235,11h58m17.93s +42d34m19.21s,21.78600248,,,,,,,,
Gaia DR3 405201306499066624,15.74852949,53.06690609,01h02m59.65s +53d04m00.86s,21.78666721,,,,,,,,
Gaia DR3 5100356956302641536,53.54548021,-21.50950435,03h34m10.92s -21d30m34.22s,21.78720574,,,,,,,,
Gaia DR3 3646061719703116032,213.1873175,-3.322410827,14h12m44.96s -03d19m20.68s,21.78869585,,,,,,,,
Gaia DR3 1720995598827436928,232.3388265,80.45103364,15h29m21.32s +80d27m03.72s,21.78936532,,,,,,,,
Gaia DR3 1658968054798747008,205.4435799,58.25500315,13h41m46.46s +58d15m18.01s,21.79130086,,,,,,,,
Gaia DR3 4591351448523805312,272.4200358,31.87165407,18h09m40.81s +31d52m17.95s,21.79512274,,,,,,,,
K2-415,137.2001772,11.86281196,09h08m48.04s +11d51m46.12s,21.8042881,,,,,,,,
Gaia DR3 4101357699404676736,286.0394024,-14.1733323,19h04m09.46s -14d10m24.00s,21.80669745,,,,,,,,
Gaia DR3 4213398965047338880,291.8046179,-4.165588711,19h27m13.11s -04d09m56.12s,21.80710018,,,,,,,,
G 196-3,151.0878301,50.38559048,10h04m21.08s +50d23m08.13s,21.80831683,,,,,,,,
Gaia DR3 1392907032814774528,227.0949221,41.54050891,15h08m22.78s +41d32m25.83s,21.80987269,,,,,,,,
Gaia DR3 1720995598827435648,232.2868159,80.44937926,15h29m08.84s +80d26m57.77s,21.81368778,,,,,,,,
Gaia DR3 6847570886634835200,302.7329262,-25.59193262,20h10m55.90s -25d35m30.96s,21.81863125,,,,,,,,
Gaia DR3 WD_Unknown_ID,118.3625361,52.49023071,07h53m27.01s +52d29m24.83s,21.82038766,,,,,,,,
Gaia DR3 4083994314834200960,287.2839091,-19.63114144,19h09m08.14s -19d37m52.11s,21.82273691,,,,,,,,
Gaia DR3 873931909508892800,118.1979332,25.92543779,07h52m47.50s +25d55m31.58s,21.82455554,,,,,,,,
Gaia DR3 4124309523644614656,262.9229086,-17.07635178,17h31m41.50s -17d04m34.87s,21.82532974,,,,,,,,
Gaia DR3 3734930606012228096,192.3894044,9.475536516,12h49m33.46s +09d28m31.93s,21.83012092,,,,,,,,
Gaia DR3 4120731334863900800,266.7595826,-17.66225068,17h47m02.30s -17d39m44.10s,21.83568149,,,,,,,,
Gaia DR3 473347456640408448,59.04011994,59.64153022,03h56m09.63s +59d38m29.51s,21.84018686,,,,,,,,
Gaia DR3 2194392804070784128,308.7270865,59.29042301,20h34m54.50s +59d17m25.52s,21.84050382,,,,,,,,
Gaia DR3 154660191781205120,70.89808735,27.68548812,04h43m35.54s +27d41m07.76s,21.84404772,,,,,,,,
Gaia DR3 5022972468944971648,23.75567968,-29.90911361,01h35m01.36s -29d54m32.81s,21.84998309,,,,,,,,
Gaia DR3 4123162733028699136,264.7146771,-18.52821795,17h38m51.52s -18d31m41.58s,21.85254598,,,,,,,,
Gaia DR3 2435317585786753920,358.4973698,-8.561568444,23h53m59.37s -08d33m41.65s,21.85428038,,,,,,,,
Gaia DR3 4218602403817112192,307.2364483,-4.344299401,20h28m56.75s -04d20m39.48s,21.85451939,,,,,,,,
Gaia DR3 3894986960344055680,181.0509757,5.235829956,12h04m12.23s +05d14m08.99s,21.85631031,,,,,,,,
Gaia DR3 2067948245320365184,308.2136518,41.90174947,20h32m51.28s +41d54m06.30s,21.85863101,,,,,,,,
Gaia DR3 4556066746008265344,265.8141421,21.60464322,17h43m15.39s +21d36m16.72s,21.8606275,,,,,,,,
Gaia DR3 1633752714121739264,259.3112851,65.43867185,17h17m14.71s +65d26m19.22s,21.86147373,,,,,,,,
Gaia DR3 3420855590574476544,77.60958066,25.88200479,05h10m26.30s +25d52m55.22s,21.86447432,,,,,,,,
Gaia DR3 5668026421651069184,155.3821386,-20.7356805,10h21m31.71s -20d44m08.45s,21.8654274,,,,,,,,
Gaia DR3 6882485633558785920,316.4309941,-16.91413078,21h05m43.44s -16d54m50.87s,21.8678985,,,,,,,,
Gaia DR3 4252345659839658880,281.4914778,-6.977043982,18h45m57.95s -06d58m37.36s,21.87782604,,,,,,,,
Gaia DR3 2105798761309653120,284.9878939,43.40305868,18h59m57.09s +43d24m11.01s,21.88272147,,,,,,,,
Gaia DR3 4538002628953515392,282.9410267,26.70359789,18h51m45.85s +26d42m12.95s,21.8867767,,,,,,,,
HD 45184,96.181471,-28.78099552,06h24m43.55s -28d46m51.58s,21.89226377,,,,,,,,
Gaia DR3 2280191304155597184,329.6088604,75.58922099,21h58m26.13s +75d35m21.20s,21.89898632,,,,,,,,
Gaia DR3 36590651757883392,56.21534112,11.92092511,03h44m51.68s +11d55m15.33s,21.91726428,,,,,,,,
Gaia DR3 2005804153064109056,334.0134698,54.66699754,22h16m03.23s +54d40m01.19s,21.91768202,,,,,,,,
Gaia DR3 3177244255271333248,64.17406687,-12.55493591,04h16m41.78s -12d33m17.77s,21.92258008,,,,,,,,
Gaia DR3 3120174031215549824,96.0433384,-0.27707321,06h24m10.40s -00d16m37.46s,21.92320098,,,,,,,,
Gaia DR3 2930012262549006336,109.04652,-20.19126836,07h16m11.16s -20d11m28.57s,21.92596271,,,,,,,,
Gaia DR3 2221509612668871552,317.8673738,65.89066239,21h11m28.17s +65d53m26.38s,21.92915526,,,,,,,,
Gaia DR3 1961385914819977216,332.590998,42.84729558,22h10m21.84s +42d50m50.26s,21.93216268,,,,,,,,
Gaia DR3 2005798350576886144,333.9782326,54.67339703,22h15m54.78s +54d40m24.23s,21.93400683,,,,,,,,
Gaia DR3 2271106756832674304,313.004114,69.16879281,20h52m00.99s +69d10m07.65s,21.93410551,,,,,,,,
Gaia DR3 112157612034669440,47.66264487,25.6800658,03h10m39.03s +25d40m48.24s,21.93737688,,,,,,,,
Gaia DR3 1869302674999983104,311.5297974,33.97078505,20h46m07.15s +33d58m14.83s,21.93755893,,,,,,,,
Gaia DR3 918107434852949888,126.903062,45.6504509,08h27m36.73s +45d39m01.62s,21.93818905,,,,,,,,
Gaia DR3 2608006916403629056,340.3096042,-10.74634652,22h41m14.30s -10d44m46.85s,21.93986874,,,,,,,,
Gaia DR3 4004600401251919488,178.1738149,24.63580301,11h52m41.72s +24d38m08.89s,21.94281468,,,,,,,,
Gaia DR3 5760670171895209984,133.6324054,-5.857508748,08h54m31.78s -05d51m27.03s,21.94343066,,,,,,,,
Gaia DR3 529369670020867840,11.15332789,67.95891972,00h44m36.80s +67d57m32.11s,21.94607271,,,,,,,,
Gaia DR3 5098050661942146816,62.1226397,-14.84347113,04h08m29.43s -14d50m36.50s,21.94619818,,,,,,,,
HD 90156,155.979983,-29.64481336,10h23m55.20s -29d38m41.33s,21.94775328,,,,,,,,
Gaia DR3 1611997094153823104,217.1275918,59.39221505,14h28m30.62s +59d23m31.97s,21.94894294,,,,,,,,
Gaia DR3 4596549007488604288,268.9921283,29.43581436,17h55m58.11s +29d26m08.93s,21.94899184,,,,,,,,
Gaia DR3 5761555587993177216,130.5962284,-4.900778791,08h42m23.09s -04d54m02.80s,21.95671396,,,,,,,,
Gaia DR3 WD_Unknown_ID,119.9952892,43.59036,07h59m58.87s +43d35m25.30s,21.95847652,,,,,,,,
Gaia DR3 2246676707976104960,305.8289425,67.17071803,20h23m18.95s +67d10m14.58s,21.96572429,,,,,,,,
Gaia DR3 3016516095038210304,83.11184198,-7.239911752,05h32m26.84s -07d14m23.68s,21.96616644,,,,,,,,
Gaia DR3 4310732746565675776,285.9512359,9.583008038,19h03m48.30s +09d34m58.83s,21.97196152,,,,,,,,
Gaia DR3 532920302303570176,13.4913767,69.28061527,00h53m57.93s +69d16m50.21s,21.97811575,,,,,,,,
HD 164922,270.6317335,26.30865051,18h02m31.62s +26d18m31.14s,21.98024044,,,,,,,,
Gaia DR3 1922383316803470592,356.8362293,42.6372052,23h47m20.70s +42d38m13.94s,21.98764997,,,,,,,,
Gaia DR3 3571124882669324800,182.6200642,-13.17582384,12h10m28.82s -13d10m32.97s,21.99097874,,,,,,,,
Gaia DR3 1044279864474742272,134.9090094,63.68960499,08h59m38.16s +63d41m22.58s,22.00181303,,,,,,,,
Gaia DR3 3953845192168088576,186.2532758,23.3858916,12h25m00.79s +23d23m09.21s,22.00697507,,,,,,,,
Gaia DR3 3725115471868587904,206.3108371,8.835279079,13h45m14.60s +08d50m07.00s,22.01198702,,,,,,,,
Gaia DR3 1192473897093821568,238.3278618,14.00982607,15h53m18.69s +14d00m35.37s,22.01319618,,,,,,,,
Gaia DR3 80530400577483904,33.75184129,17.41559227,02h15m00.44s +17d24m56.13s,22.01467866,,,,,,,,
Gaia DR3 301785537751949824,25.82105382,27.8418769,01h43m17.05s +27d50m30.76s,22.01486248,,,,,,,,
Gaia DR3 75339743621732608,38.45108911,15.00502704,02h33m48.26s +15d00m18.10s,22.01581723,,,,,,,,
Gaia DR3 2091272352980851456,279.9998159,33.41716238,18h39m59.96s +33d25m01.78s,22.01623764,,,,,,,,
Gaia DR3 3940052815229913344,198.2651986,20.19180754,13h13m03.65s +20d11m30.51s,22.01652152,,,,,,,,
Gaia DR3 WD_Unknown_ID,15.96037384,5.076830741,01h03m50.49s +05d04m36.59s,22.01712051,,,,,,,,
Gaia DR3 4116840541184279296,264.1900706,-22.34979142,17h36m45.62s -22d20m59.25s,22.02342545,,,,,,,,
Gaia DR3 3640828731549972480,214.0034246,-6.00354333,14h16m00.82s -06d00m12.76s,22.02573563,,,,,,,,
LTT 3780,154.643886,-11.71852355,10h18m34.53s -11d43m06.68s,22.02779259,,,,,,,,
Gaia DR3 4060791183517338112,265.8519084,-27.34275924,17h43m24.46s -27d20m33.93s,22.03379901,,,,,,,,
Gaia DR3 3094572113419797248,122.7242666,3.973546383,08h10m53.82s +03d58m24.77s,22.03496945,,,,,,,,
Gaia DR3 2999321180586629120,90.50691327,-10.03307861,06h02m01.66s -10d01m59.08s,22.0488069,,,,,,,,
Gaia DR3 3094447525008511488,121.4866165,4.284322421,08h05m56.79s +04d17m03.56s,22.05844943,,,,,,,,
Gaia DR3 4426032591025363200,237.7049439,4.478178874,15h50m49.19s +04d28m41.44s,22.06080655,,,,,,,,
Gaia DR3 2384348242516852864,346.8147865,-23.13345092,23h07m15.55s -23d08m00.42s,22.06449535,,,,,,,,
Gaia DR3 3285218255623808640,63.8567072,6.198843451,04h15m25.61s +06d11m55.84s,22.07134857,,,,,,,,
Gaia DR3 291512216497803264,27.26001724,25.20543022,01h49m02.40s +25d12m19.55s,22.07427231,,,,,,,,
Gaia DR3 3285218186904332288,63.8692054,6.186085924,04h15m28.61s +06d11m09.91s,22.07481745,,,,,,,,
Gaia DR3 WD_Unknown_ID,358.7364833,40.45437629,23h54m56.76s +40d27m15.75s,22.08192837,,,,,,,,
Gaia DR3 1536232908980349952,182.7371287,41.05943084,12h10m56.91s +41d03m33.95s,22.08350182,,,,,,,,
Gaia DR3 6316161317608434944,230.652474,-10.66259826,15h22m36.59s -10d39m45.35s,22.08485418,,,,,,,,
Gaia DR3 3844632759469347584,142.7116258,2.456204377,09h30m50.79s +02d27m22.34s,22.0854989,,,,,,,,
Gaia DR3 1545970149597276288,182.2838263,47.59936631,12h09m08.12s +47d35m57.72s,22.09016018,,,,,,,,
Gaia DR3 1022050415123922176,145.6910642,55.51814731,09h42m45.86s +55d31m05.33s,22.09490387,,,,,,,,
Gaia DR3 1724494760222303872,265.7792051,85.43965662,17h43m07.01s +85d26m22.76s,22.09692947,,,,,,,,
Gaia DR3 3532823773073745536,168.0071532,-26.13714003,11h12m01.72s -26d08m13.70s,22.10033057,,,,,,,,
Gaia DR3 1002898644851988352,105.2733734,59.83338293,07h01m05.61s +59d50m00.18s,22.10233282,,,,,,,,
Gaia DR3 338554924573259392,38.50297831,41.78089102,02h34m00.71s +41d46m51.21s,22.10493923,,,,,,,,
Gaia DR3 2384342302577019264,346.7806409,-23.16129421,23h07m07.35s -23d09m40.66s,22.10621464,,,,,,,,
Gaia DR3 2498460442625344256,40.30898596,-0.696020984,02h41m14.16s -00d41m45.68s,22.10740589,,,,,,,,
Gaia DR3 5143185923500965504,33.28991923,-19.03174911,02h13m09.58s -19d01m54.30s,22.1081077,,,,,,,,
Gaia DR3 3836586468953204608,151.736438,2.963672925,10h06m56.75s +02d57m49.22s,22.10837002,,,,,,,,
Gaia DR3 235505877319305088,50.3735106,38.79124074,03h21m29.64s +38d47m28.47s,22.11143054,,,,,,,,
Gaia DR3 3767281639714811648,154.6483302,-11.71907034,10h18m35.60s -11d43m08.65s,22.11151458,,,,,,,,
Gaia DR3 1834788970646666112,301.0412528,25.78994458,20h04m09.90s +25d47m23.80s,22.11473054,,,,,,,,
Gaia DR3 4092388708225823616,278.8575734,-19.73383233,18h35m25.82s -19d44m01.80s,22.12241859,,,,,,,,
Gaia DR3 3339705378973587328,83.56244793,10.31784629,05h34m14.99s +10d19m04.25s,22.1301959,,,,,,,,
Gaia DR3 3786697056556771584,169.5974793,-5.068392434,11h18m23.40s -05d04m06.21s,22.13356237,,,,,,,,
Gaia DR3 3210380713937584768,79.95493959,-4.604826323,05h19m49.19s -04d36m17.37s,22.13359987,,,,,,,,
Gaia DR3 1437609842705737088,258.5239152,60.78794627,17h14m05.74s +60d47m16.61s,22.13462442,,,,,,,,
Gaia DR3 5693178647798942336,125.5667413,-27.736052,08h22m16.02s -27d44m09.79s,22.14156121,,,,,,,,
Gaia DR3 3836586468952863488,151.7360007,2.963118681,10h06m56.64s +02d57m47.23s,22.14474578,,,,,,,,
Gaia DR3 1801210568415251072,326.0378555,28.7408988,21h44m09.09s +28d44m27.24s,22.14543833,,,,,,,,
Gaia DR3 5166527284047995136,48.65383697,-9.672720359,03h14m36.92s -09d40m21.79s,22.14622389,,,,,,,,
Gaia DR3 583257319006770176,135.2078356,5.240049698,09h00m49.88s +05d14m24.18s,22.1485191,,,,,,,,
Gaia DR3 2949560479775040256,104.6091833,-12.99265616,06h58m26.20s -12d59m33.56s,22.14953934,,,,,,,,
Gaia DR3 583257314711142144,135.2003011,5.243333297,09h00m48.07s +05d14m36.00s,22.15106198,,,,,,,,
Gaia DR3 4287473578816247936,293.1595627,0.57769738,19h32m38.30s +00d34m39.71s,22.15210993,,,,,,,,
Gaia DR3 1724495516135399936,265.7762832,85.44791219,17h43m06.31s +85d26m52.48s,22.15377603,,,,,,,,
Gaia DR3 4579668141049191040,273.173836,25.59820753,18h12m41.72s +25d35m53.55s,22.15437418,,,,,,,,
Gaia DR3 3339705374677738880,83.56229311,10.31647811,05h34m14.95s +10d18m59.32s,22.15598374,,,,,,,,
Gaia DR3 2808854877248978304,12.18845111,27.01709937,00h48m45.23s +27d01m01.56s,22.16042152,,,,,,,,
Gaia DR3 3963458767789502336,168.2532944,10.41726774,11h13m00.79s +10d25m02.16s,22.16246148,,,,,,,,
Gaia DR3 5166527284047995008,48.65131057,-9.668825782,03h14m36.31s -09d40m07.77s,22.16339128,,,,,,,,
Gaia DR3 1780624347783836032,329.1573723,19.76721125,21h56m37.77s +19d46m01.96s,22.16491872,,,,,,,,
Gaia DR3 3531371833610186368,168.6582073,-27.54185808,11h14m37.97s -27d32m30.69s,22.16833409,,,,,,,,
Gaia DR3 WD_Unknown_ID,288.2041234,53.72138418,19h12m48.99s +53d43m16.98s,22.16872171,,,,,,,,
Gaia DR3 3086118793148247296,113.9644383,-0.815113345,07h35m51.47s -00d48m54.41s,22.1710126,,,,,,,,
Gaia DR3 6213789290343029760,231.4871411,-26.70585492,15h25m56.91s -26d42m21.08s,22.17383718,,,,,,,,
Gaia DR3 2629732510254843136,338.7315891,-1.081210822,22h34m55.58s -01d04m52.36s,22.17754728,,,,,,,,
Gaia DR3 2788907296779605376,12.84331318,18.7344991,00h51m22.40s +18d44m04.20s,22.17926823,,,,,,,,
Gaia DR3 240259375324767744,46.39305855,42.19684654,03h05m34.33s +42d11m48.65s,22.18058602,,,,,,,,
Gaia DR3 553639739931666048,88.69669817,80.09459438,05h54m47.21s +80d05m40.54s,22.18151402,,,,,,,,
Gaia DR3 543528253045537536,53.96643209,71.67224597,03h35m51.94s +71d40m20.09s,22.18857583,,,,,,,,
Gaia DR3 1397434890417900544,236.8616564,45.13235258,15h47m26.80s +45d07m56.47s,22.19014429,,,,,,,,
Gaia DR3 3149589510609268352,113.7727983,10.00937438,07h35m05.47s +10d00m33.75s,22.19072008,,,,,,,,
Gaia DR3 3570845980378511232,182.9889465,-13.93022736,12h11m57.35s -13d55m48.82s,22.19482005,,,,,,,,
Gaia DR3 634729066075133056,142.8877774,20.27654632,09h31m33.07s +20d16m35.57s,22.19533325,,,,,,,,
Gaia DR3 2570824594248255104,28.76718906,9.832807064,01h55m04.13s +09d49m58.11s,22.20139529,,,,,,,,
Gaia DR3 3998674480255094016,168.9512265,27.77088513,11h15m48.29s +27d46m15.19s,22.20182252,,,,,,,,
Gaia DR3 4367318326501438976,259.5911853,-1.782413996,17h18m21.88s -01d46m56.69s,22.2074632,,,,,,,,
Gaia DR3 2702655587447223168,337.2747237,1.661966403,22h29m05.93s +01d39m43.08s,22.20969329,,,,,,,,
Gaia DR3 1545970149597276160,182.2839275,47.59088073,12h09m08.14s +47d35m27.17s,22.21078173,,,,,,,,
Gaia DR3 2788907296779604864,12.84104909,18.73730837,00h51m21.85s +18d44m14.31s,22.21142253,,,,,,,,
Gaia DR3 4175058204312299904,267.6416035,-6.051246594,17h50m33.98s -06d03m04.49s,22.2139501,,,,,,,,
Gaia DR3 6269287689510453504,214.5213077,-28.06014242,14h18m05.11s -28d03m36.51s,22.21557406,,,,,,,,
Gaia DR3 3252841310381645696,60.63900134,-2.704767201,04h02m33.36s -02d42m17.16s,22.21800155,,,,,,,,
Gaia DR3 627983081202284928,148.5651413,20.42561843,09h54m15.63s +20d25m32.23s,22.22239024,,,,,,,,
Gaia DR3 345680648977744896,29.69217151,40.8285499,01h58m46.12s +40d49m42.78s,22.22402565,,,,,,,,
Gaia DR3 WD_Unknown_ID,321.7416532,73.64347196,21h26m58.00s +73d38m36.50s,22.22632174,,,,,,,,
Gaia DR3 2783324526489670144,16.6721554,15.27098755,01h06m41.32s +15d16m15.56s,22.23037018,,,,,,,,
Gaia DR3 WD_Unknown_ID,85.77928694,36.61659513,05h43m07.03s +36d36m59.74s,22.23417927,,,,,,,,
Gaia DR3 3121200807575320448,93.95708351,-1.011986526,06h15m49.70s -01d00m43.15s,22.23896215,,,,,,,,
Gaia DR3 4274925505435880704,274.0369136,0.330312134,18h16m08.86s +00d19m49.12s,22.24007684,,,,,,,,
Gaia DR3 3897324590782822528,176.9071619,5.019971233,11h47m37.72s +05d01m11.90s,22.24414983,,,,,,,,
Gaia DR3 336080576733515264,42.17874887,41.72010321,02h48m42.90s +41d43m12.37s,22.25164772,,,,,,,,
Gaia DR3 733392535107534464,164.7718995,30.25117842,10h59m05.26s +30d15m04.24s,22.25223382,,,,,,,,
Gaia DR3 4110629262522399872,263.0658823,-23.78780667,17h32m15.81s -23d47m16.10s,22.25571541,,,,,,,,
Gaia DR3 3429699684156117760,90.97828974,26.14460645,06h03m54.79s +26d08m40.58s,22.25903873,,,,,,,,
Gaia DR3 WD_Unknown_ID,242.8567938,13.36771931,16h11m25.63s +13d22m03.79s,22.26541713,,,,,,,,
Gaia DR3 1123094335422270336,127.8242238,72.6229167,08h31m17.81s +72d37m22.50s,22.26610697,,,,,,,,
Gaia DR3 4119946455341946880,266.3594382,-18.96816711,17h45m26.27s -18d58m05.40s,22.26634809,,,,,,,,
Gaia DR3 2274076301516712704,321.7421174,73.64293738,21h26m58.11s +73d38m34.57s,22.26718266,,,,,,,,
Gaia DR3 2738145555048846080,337.1926847,18.93077425,22h28m46.24s +18d55m50.79s,22.26730823,,,,,,,,
Gaia DR3 725398123501434496,154.3073306,23.10550972,10h17m13.76s +23d06m19.84s,22.27131939,,,,,,,,
Gaia DR3 2409534686654407936,345.9981231,-16.20432655,23h03m59.55s -16d12m15.58s,22.27270166,,,,,,,,
Gaia DR3 4408913744737288320,244.795298,1.677983523,16h19m10.87s +01d40m40.74s,22.27345321,,,,,,,,
Gaia DR3 3180270454868010368,75.03849751,-12.26966176,05h00m09.24s -12d16m10.78s,22.27653427,,,,,,,,
Gaia DR3 806893276814027008,151.6800993,41.7116754,10h06m43.22s +41d42m42.03s,22.28190206,,,,,,,,
Gaia DR3 725398127796012288,154.3052462,23.10658102,10h17m13.26s +23d06m23.69s,22.28320647,,,,,,,,
Gaia DR3 6870168805525824384,295.6803855,-17.39654174,19h42m43.29s -17d23m47.55s,22.2867458,,,,,,,,
Gaia DR3 2498460442625153536,40.30991961,-0.696551866,02h41m14.38s -00d41m47.59s,22.28689192,,,,,,,,
Gaia DR3 506105206568973184,28.61669262,57.69287067,01h54m28.01s +57d41m34.33s,22.28894636,,,,,,,,
Gaia DR3 506105202278213248,28.61668996,57.69048426,01h54m28.01s +57d41m25.74s,22.28999546,,,,,,,,
Gaia DR3 2038120006709791360,290.062972,28.8128918,19h20m15.11s +28d48m46.41s,22.29522122,,,,,,,,
Gaia DR3 5168398373665537536,50.12996448,-7.684269451,03h20m31.19s -07d41m03.37s,22.29799484,,,,,,,,
Gaia DR3 3188811632989991168,62.69909802,-12.86454283,04h10m47.78s -12d51m52.35s,22.2991955,,,,,,,,
Gaia DR3 4572753136321939968,255.0836904,25.35178026,17h00m20.09s +25d21m06.41s,22.29968217,,,,,,,,
Gaia DR3 252216873515630080,67.81243999,42.28545831,04h31m14.99s +42d17m07.65s,22.3050756,,,,,,,,
Gaia DR3 1569335115284976000,187.7091268,53.07791917,12h30m50.19s +53d04m40.51s,22.30913115,,,,,,,,
Gaia DR3 391624571277556992,6.782363488,49.6964118,00h27m07.77s +49d41m47.08s,22.31462443,,,,,,,,
Gaia DR3 2501452449987251840,37.07333844,1.441015431,02h28m17.60s +01d26m27.66s,22.31676008,,,,,,,,
Gaia DR3 3191480078993217408,66.37758436,-9.9284197,04h25m30.62s -09d55m42.31s,22.31681783,,,,,,,,
Gaia DR3 4068964776929369216,266.7606462,-22.44365414,17h47m02.56s -22d26m37.15s,22.32180791,,,,,,,,
Gaia DR3 3794485653330841984,178.2840585,-1.121361771,11h53m08.17s -01d07m16.90s,22.32284535,,,,,,,,
Gaia DR3 3621610157353795584,199.1870958,-12.33936554,13h16m44.90s -12d20m21.72s,22.32311467,,,,,,,,
Gaia DR3 2996171698248699904,86.73881624,-14.82195576,05h46m57.32s -14d49m19.04s,22.32442967,,,,,,,,
