common_name,ra_current,dec_current,coords_sexagesimal,distance
Gaia DR3 2739689239311660672,357.3093638,2.394226812,23h49m14.25s +02d23m39.22s,5.909595145
HD 180617,289.2260364,5.15927389,19h16m54.25s +05d09m33.39s,5.915007076
Gaia DR3 4293315765165489536,289.2357038,5.140578692,19h16m56.57s +05d08m26.08s,5.918781039
Gaia DR3 425040000962559616,12.2908517,57.81119707,00h49m09.80s +57d48m40.31s,5.923042138
Gaia DR3 425040000962497792,12.28715421,57.81443442,00h49m08.92s +57d48m51.96s,5.927030156
Gaia DR3 4109030160308317312,258.8336696,-26.61106773,17h15m20.08s -26d36m39.84s,5.947768672
Gaia DR3 4109030160308320128,258.8325711,-26.60999871,17h15m19.82s -26d36m36.00s,5.952271868
Gaia DR3 4109034455276324608,259.0518049,-26.55426923,17h16m12.43s -26d33m15.37s,5.953738988
Gaia DR3 3136952686035250688,116.164868,3.549246384,07h44m39.57s +03d32m57.29s,5.988852475
BD J235.47-22.84,235.46525,-22.84028,15h41m51.66s -22d50m25.01s,5.991611744
Gaia DR3 946632924007399936,107.5035832,38.52264498,07h10m00.86s +38d31m21.52s,6.052730195
Gaia DR3 2572901021957789568,24.24473783,9.563025561,01h36m58.74s +09d33m46.89s,6.118159562
BD J144.429.53,144.39533,29.52805,09h37m34.88s +29d31m40.98s,6.140997298
BD J24.249.56,24.23567,9.56314,01h36m56.56s +09d33m47.30s,6.167889965
BD J332.2727.2,332.27389,27.19555,22h09m05.73s +27d11m43.98s,6.184291899
Gaia DR3 WD_Unknown_ID,267.0053808,70.88465351,17h48m01.29s +70d53m04.75s,6.211365308
HN Lib,218.5674213,-12.51527652,14h34m16.18s -12d30m55.00s,6.253026943
GJ 896 A,352.9733074,19.93737006,23h31m53.59s +19d56m14.53s,6.25357781
GJ 896 A,352.9718317,19.93682679,23h31m53.24s +19d56m12.58s,6.263176469
GJ 581,229.8528778,-7.722977092,15h19m24.69s -07d43m22.72s,6.300471781
BD J211.3355.57,211.32664,55.57261,14h05m18.39s +55d34m21.40s,6.321112516
Gaia DR3 1022456139210632064,138.5764788,52.68249925,09h14m18.35s +52d40m57.00s,6.333606344
GJ 338 B,138.5841042,52.68159615,09h14m20.19s +52d40m53.75s,6.333824561
Gaia DR3 685103912857072640,135.0941024,21.83041744,09h00m22.58s +21d49m49.50s,6.358549317
Gaia DR3 1267906854386665088,225.8324111,25.42619388,15h03m19.78s +25d25m34.30s,6.419481134
Gaia DR3 WD_Unknown_ID,88.79358634,-4.185363232,05h55m10.46s -04d11m07.31s,6.441750791
BD J225.8325.42,225.83171,25.42217,15h03m19.61s +25d25m19.81s,6.454911155
BD J292.1723.93,292.17295,23.93394,19h28m41.51s +23d56m02.18s,6.455777921
Gaia DR3 3907283967108054528,184.7381526,11.12751747,12h18m57.16s +11d07m39.06s,6.46412676
GJ 625,246.357946,54.30286184,16h25m25.91s +54d18m10.30s,6.478770723
Gaia DR3 4339417394313320192,253.8909633,-8.400941376,16h55m33.83s -08d24m03.39s,6.494946128
Gaia DR3 4339465360510320128,253.8491251,-8.329072354,16h55m23.79s -08d19m44.66s,6.498764778
HD 219134,348.3483627,57.17048392,23h13m23.61s +57d10m13.74s,6.541762446
BD J126.2828.1,126.28065,28.09682,08h25m07.36s +28d05m48.55s,6.553079948
BD J62.5915.05,62.59464,15.04679,04h10m22.71s +15d02m48.44s,6.609385327
BD J80.3610.43,80.35899,10.4258,05h21m26.16s +10d25m32.88s,6.657789614
Gaia DR3 3988987164339438208,165.0143918,22.83091814,11h00m03.45s +22d49m51.31s,6.747704332
Gaia DR3 1237090738916392832,222.8470347,19.10059839,14h51m23.29s +19d06m02.15s,6.748580177
Gaia DR3 1237090738916392704,222.8484262,19.10015695,14h51m23.62s +19d06m00.57s,6.753585335
Gaia DR3 3098328182579892096,122.9976891,8.736250899,08h11m59.45s +08d44m10.50s,6.76947933
Gaia DR3 1784473016438653056,322.4110153,17.64602889,21h29m38.64s +17d38m45.70s,6.779855104
BD J110.01-8.78,110.01356,-8.78053,07h20m03.25s -08d46m49.91s,6.798096533
Gaia DR3 2019802555283940608,292.1710026,23.93567266,19h28m41.04s +23d56m08.42s,6.830287105
BD J43.532.4,43.53286,2.39898,02h54m07.89s +02d23m56.33s,6.844626968
LTT 1445 A,45.46135214,-16.59527706,03h01m50.72s -16d35m43.00s,6.863785973
Gaia DR3 2828928008202069376,344.1372232,16.5513801,22h56m32.93s +16d33m04.97s,6.867027762
BD J163.854.72,163.8005,54.72453,10h55m12.12s +54d43m28.31s,6.896551724
Gaia DR3 3864615459886222464,162.7105686,6.802215689,10h50m50.54s +06d48m07.98s,6.966744709
GJ 393,157.2271083,0.835713882,10h28m54.51s +00d50m08.57s,7.037538215
Gaia DR3 2195886971653527168,313.3324578,62.14881021,20h53m19.79s +62d08m55.72s,7.039562395
Gaia DR3 1952802469918554368,326.5934528,38.21718447,21h46m22.43s +38d13m01.86s,7.047484256
Gaia DR3 6224387727748521344,224.1554146,-28.16959715,14h56m37.30s -28d10m10.55s,7.052727336
BD J314.1215.0,314.1205,14.99812,20h56m28.92s +14d59m53.23s,7.102272727
BD J12.4421.86,12.44203,21.85567,00h49m46.09s +21d51m20.41s,7.122507123
Gaia DR3 2640434056928150400,353.7992419,-2.395136937,23h35m11.82s -02d23m42.49s,7.176747099
BD J128.93-8.32,128.92721,-8.32316,08h35m42.53s -08d19m23.38s,7.214497099
Gaia DR3 18565464288396416,39.0767183,6.882119002,02h36m18.41s +06d52m55.63s,7.223497637
Gaia DR3 19316224572460416,39.03336104,6.89744271,02h36m08.01s +06d53m50.79s,7.228567099
Gaia DR3 5753687109122994048,128.9233107,-8.320980348,08h35m41.59s -08d19m15.53s,7.22988799
Gaia DR3 2595284016771502080,335.7814926,-17.61250309,22h23m07.56s -17d36m45.01s,7.234424215
Gaia DR3 3426333598021539840,91.90883,24.49680946,06h07m38.12s +24d29m48.51s,7.243144645
BD J91.9124.5,91.91258,24.49911,06h07m39.02s +24d29m56.80s,7.302206946
BD J48.3678.13,48.3581,78.12899,03h13m25.94s +78d07m44.36s,7.374631268
BD J226.95-16.46,226.94865,-16.46114,15h07m47.68s -16d27m40.10s,7.394633862
Gaia DR3 6306068659857135232,226.9475061,-16.46761397,15h07m47.40s -16d28m03.41s,7.410294559
Gaia DR3 2552925644460225152,12.1012157,5.272368001,00h48m24.29s +05d16m20.52s,7.43522906
BD J300.2136.5,300.20907,36.49626,20h00m50.18s +36d29m46.54s,7.496251874
BD J94.4219.75,94.42466,19.75377,06h17m41.92s +19d45m13.57s,7.518796992
Gaia DR3 1355264565043431040,257.3847474,43.6793433,17h09m32.34s +43d40m45.64s,7.59880677
Gaia DR3 4286249341336984576,282.0758128,7.69101478,18h48m18.20s +07d41m27.65s,7.617364036
